FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14638265,14638265,POINT (16.368858612265807 48.165497469974156),Grenzackerstraße,Grenzackerstraße,"120,200,210,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Grenzackerstraße&start=1,
OEFFHALTESTOGD.14638266,14638266,POINT (16.368858612265807 48.165497469974156),Grenzackerstraße,Grenzackerstraße,"120,200,210,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Grenzackerstraße&start=1,
OEFFHALTESTOGD.14638267,14638267,POINT (16.36798721244908 48.16466467010387),Grenzackerstraße,Grenzackerstraße,"120,15A,200,210,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Grenzackerstraße&start=1,
OEFFHALTESTOGD.14638268,14638268,POINT (16.36798721244908 48.16466467010387),Grenzackerstraße,Grenzackerstraße,"120,15A,200,210,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Grenzackerstraße&start=1,
OEFFHALTESTOGD.14638269,14638269,POINT (16.28286281186167 48.134649469720934),Liesing,Liesing,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.14638270,14638270,POINT (16.28286281186167 48.134649469720934),Liesing,Liesing,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.14638271,14638271,POINT (16.280688912240418 48.14060236966903),Liesing Schulzentrum,Liesing Schulzentrum,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Liesing%20Schulzentrum&start=1,
OEFFHALTESTOGD.14638272,14638272,POINT (16.280688912240418 48.14060236966903),Liesing Schulzentrum,Liesing Schulzentrum,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Liesing%20Schulzentrum&start=1,
OEFFHALTESTOGD.14638273,14638273,POINT (16.280329612956006 48.140230669746636),Liesing Schulzentrum,Liesing Schulzentrum,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Liesing%20Schulzentrum&start=1,
OEFFHALTESTOGD.14638274,14638274,POINT (16.280329612956006 48.140230669746636),Liesing Schulzentrum,Liesing Schulzentrum,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Liesing%20Schulzentrum&start=1,
OEFFHALTESTOGD.14638275,14638275,POINT (16.361231912586042 48.14594316970547),Siedlung Blumental,Siedlung Blumental,"120,17A,200,210,66A,67A,67B,N66,N67",,10,https://anachb.vor.at?P=SQ&input=Wien%20Siedlung%20Blumental&start=1,
OEFFHALTESTOGD.14638276,14638276,POINT (16.361231912586042 48.14594316970547),Siedlung Blumental,Siedlung Blumental,"120,17A,200,210,66A,67A,67B,N66,N67",,11,https://anachb.vor.at?P=SQ&input=Wien%20Siedlung%20Blumental&start=1,
OEFFHALTESTOGD.14638277,14638277,POINT (16.361591212427314 48.14582327001798),Siedlung Blumental,Siedlung Blumental,"120,17A,200,210,66A,67A,67B,N66,N67",,10,https://anachb.vor.at?P=SQ&input=Wien%20Siedlung%20Blumental&start=1,
